Title,Company,Location,Salary,Job Type,Description,Date Posted,Latitude,Longitude
ambulance dispatcher,Power's Ambulance Service Limited,"Freshwater, NL",16.0,"Full-time
+1",Education: Other trades certificate or diploma. Advise vehicle operators of traffic and other problems. Maintain vehicle operator work records.  ,5.0,47.45096675,-52.68391851694915
dairy farm labourer,"Double ""A"" Dairy Farm Inc","Lethbridge, NL",16.0,"Part-time
+1","Education: No degree, certificate or diploma. Set and monitor water lines, air flow and temperature in barns, pens and chicken coops.  ",4.0,48.3693121,-53.8565442
office manager,Grace Hotel Ltd.,"Hopedale, NL",24.04,"Full-time
+1",Carry out administrative activities of establishment. Oversee and co-ordinate office administrative procedures. Delegate work to office support staff.  ,30.0,55.4578143,-60.21055156711604
Financial Analyst,St. John’s Sports & Entertainment Ltd.,"St. John's, NL",,,"A bachelor's degree in business with a concentration in Accounting, Finance, Economics, or a related field. Proven experience as a Financial Analyst or similar…  ",27.0,47.5614705,-52.7126162
Medical Communications Officer,NL Health Services,"St. John's, NL",,Full-time,Completion of a recognized/approved Emergency Medical Dispatcher (EMD) certificate with the National Academy of Emergency Medical Dispatchers (NAEMD) is…  ,30.0,47.5614705,-52.7126162
fish plant worker,Quinlan Brothers Ltd.,"Bay de Verde, NL",15.9,Full-time,"Education: No degree, certificate or diploma. Cut, clean and trim fish or seafood prior to marketing or further processing. Up to 9 kg (20 lbs).   ",26.0,48.0859357,-52.89576
Équipier/ère à temps plein,McDonald's,"Labrador City, NL",,Full-time,"Bien que votre expérience de travail antérieure dans l’industrie de la restauration ou du commerce de détail en tant que barista, serveur, associé aux ventes,…   ",30.0,52.9422944,-66.9177291
Mechanical Maintenance Planner,Vale Canada,"Long Harbour-Mount Arlington Heights, NL",,Full-time,"Contribute to Maintenance Shutdown planning strategies identifying and prioritizing future maintenance requirements and working with operations, engineering,…   ",23.0,47.44858145,-53.76102552927817
technical sales specialist,Bluedrop ISM,"St. John's, NL",25.0,"Full-time
+1","Assess client's needs and resources and recommend the appropriate goods or services. Review and adapt information regarding product innovations, competitors and…  ",16.0,47.5614705,-52.7126162
Joe Fresh Clerk,Dominion,"St. John's, NL",,Part-time,They help provide a positive in-store shopping experience by ensuring the store is always ready with available products that meet customer needs to live life…   ,29.0,47.5614705,-52.7126162
kitchen helper,Nain Hotel Ltd.,"Nain, NL",15.2,"Full-time
+1","Handle and store cleaning products. Experience: 7 months to less than 1 year. Clean and sanitize items such as dishwasher mats, carts and waste disposal units.  ",30.0,56.54340345,-61.69283301586507
