Title,Company,Location,Salary,Job Type,Description,Date Posted
Dental Reception/Assistant,"NL Periodontics and Dental Implants, Dr. Tony...","St. John's, NL",20.0,Full-time,"Full time Dental Receptionist We are seeking a dedicated, mature, compassionate individual that has a passion for helping others and a drive for providing…  ",4
Early Morning Stocker,PetSmart,"St. John's, NL",1.0,,This position requires working during non-operating store hours which may include weekends and holidays. Providing exceptional customer service and assisting…   ,30
Derrickhand,Parker Wellbore,"St. John's, NL",N/A,Full-time,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ",10
Domestic/Laundry,NL Health Services,"St. John's, NL",N/A,,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,30
Server,Best Western Plus St. Johns Airport Hotel & Suites,"St. John's, NL",14.5,"Full-time
+1","Processes guests’ orders and ensures all items are prepared properly, in a timely manner and to ensure guest satisfaction with the food and service.   ",4
Derrickhand,Parker Wellbore,"St. John's, NL",N/A,Full-time,"Founded in 1934, Parker Wellbore helps customers manage their costs and mitigate their risks, to achieve their operational goals in a safe and efficient manner.   ",10
Domestic/Laundry,NL Health Services,"St. John's, NL",N/A,,The successful candidate will be required to provide a satisfactory Certificate of Conduct from the RCMP or local Police (Vulnerable Sector Check may be…  ,30
Economic Development Officer,Town of Deer Lake,"Deer Lake, NL",N/A,Full-time,"The Economic Development Officer (EDO) is responsible for research and development, economic/community development and communications.  ",24
Driller Assistant,Master Drilling Group,"Nain, NL",24.0,Full-time,Read and interpret engineering plans to assist in the setup of the raise drill and assemble components. Prepares and completes all necessary paperwork required…  ,30
"Business Analyst, Expression of Interest",Newfoundland and Labrador Centre for Health...,Hybrid remote in Newfoundland and Labrador,67.0,Temporary,"Any offer of employment will be conditional upon completion of required background checks including acceptable professional reference checks, provision of a…  ",4
Farm Labourers,Country Ribbon,"St. John's, NL",19.5,,High school diploma or equivalent and possession of a valid driver’s license are required. Applicants must be willing to work in a farm setting with live…   ,30
Sales Associate,Rogers Communications,"St. John's, NL",N/A,Part-time,Participate in community events and outreach efforts to support local small businesses. Engage and grow your customer base with personalized communication and…,8
Student Recruiter (Band Level 7),Memorial University,"St. John's, NL",48.0,Permanent,"Duties include developing and presenting information about the Marine Institute to local, national, and international audiences, including high schools, career…   ",30
